"organisation_name"	"LAU_comb"	"organisation_latitude"	"organisation_longitude"	"year"	"sector"	"polygon_area"	"CoM_emis"	"EDGAR_emis"	"organisation_id"	"lau_population_2019_elab"	"population_adhesion"	"country_code.x"	"country_code.y"	"population"	"population2"	"population3"	"country"
"Gent"	"BE44021"	51.0546989440918	3.72575998306274	2012	"RCO"	157.54789038638	462390.672	451236.375	"11587"	"262219"	259579	"be"	"be"	259579	259579	259579	"be"
"Gent"	"BE44021"	51.0546989440918	3.72575998306274	2012	"TRO_noRES"	157.54789038638	537479.746	375091.46875	"11587"	"262219"	259579	"be"	"be"	259579	259579	259579	"be"
"Gent"	"BE44021"	51.0546989440918	3.72575998306274	2013	"TRO_noRES"	157.54789038638	545602.561	368720.71875	"11587"	"262219"	259579	"be"	"be"	259579	259579	259579	"be"
"Gent"	"BE44021"	51.0546989440918	3.72575998306274	2013	"RCO"	157.54789038638	474384.842	494525.3125	"11587"	"262219"	259579	"be"	"be"	259579	259579	259579	"be"
"Gent"	"BE44021"	51.0546989440918	3.72575998306274	2014	"TRO_noRES"	157.54789038638	553336.998	376599.625	"11587"	"262219"	259579	"be"	"be"	259579	259579	259579	"be"
"Gent"	"BE44021"	51.0546989440918	3.72575998306274	2014	"RCO"	157.54789038638	379319.883	390566.28125	"11587"	"262219"	259579	"be"	"be"	259579	259579	259579	"be"
"Gent"	"BE44021"	51.0546989440918	3.72575998306274	2015	"RCO"	157.54789038638	431501.165	444711.59375	"11587"	"262219"	259579	"be"	"be"	259579	259579	259579	"be"
"Gent"	"BE44021"	51.0546989440918	3.72575998306274	2015	"TRO_noRES"	157.54789038638	542628.191	394381.375	"11587"	"262219"	259579	"be"	"be"	259579	259579	259579	"be"
"Gent"	"BE44021"	51.0546989440918	3.72575998306274	2016	"TRO_noRES"	157.54789038638	524839.524	396545.09375	"11587"	"262219"	259579	"be"	"be"	259579	259579	259579	"be"
"Gent"	"BE44021"	51.0546989440918	3.72575998306274	2016	"RCO"	157.54789038638	432260.322	443636.75	"11587"	"262219"	259579	"be"	"be"	259579	259579	259579	"be"
"Liège"	"BE62063"	50.6455993652344	5.57581996917725	2005	"RCO"	68.8791296394337	524338.8721	416662.25	"11589"	"197327"	195968	"be"	"be"	195968	195968	195968	"be"
"Liège"	"BE62063"	50.6455993652344	5.57581996917725	2005	"TRO_noRES"	68.8791296394337	197096.5613	196233.25	"11589"	"197327"	195968	"be"	"be"	195968	195968	195968	"be"
"Liège"	"BE62063"	50.6455993652344	5.57581996917725	2017	"RCO"	68.8791296394337	362319.012	324957.71875	"11589"	"197327"	195968	"be"	"be"	195968	195968	195968	"be"
"Liège"	"BE62063"	50.6455993652344	5.57581996917725	2017	"TRO_noRES"	68.8791296394337	172944.4274	202901.8125	"11589"	"197327"	195968	"be"	"be"	195968	195968	195968	"be"
"Seraing"	"BE62096"	50.5838813781738	5.49962997436523	2007	"TRO_noRES"	35.2764312133056	69743.3925	61539.80859375	"17481"	"64259"	63813	"be"	"be"	63813	63813	63813	"be"
"Seraing"	"BE62096"	50.5838813781738	5.49962997436523	2007	"RCO"	35.2764312133056	131467.1518	87090.6171875	"17481"	"64259"	63813	"be"	"be"	63813	63813	63813	"be"
"Genk"	"BE71016"	50.9651794433594	5.49638986587524	2011	"TRO_noRES"	87.72945889028	113504.31126	130836.125	"11586"	"66227"	66298	"be"	"be"	66298	66298	66298	"be"
"Genk"	"BE71016"	50.9651794433594	5.49638986587524	2011	"RCO"	87.72945889028	103769.95971	102059.03125	"11586"	"66227"	66298	"be"	"be"	66298	66298	66298	"be"
"Genk"	"BE71016"	50.9651794433594	5.49638986587524	2014	"TRO_noRES"	87.72945889028	126601.2669	127273.1796875	"11586"	"66227"	66298	"be"	"be"	66298	66298	66298	"be"
"Genk"	"BE71016"	50.9651794433594	5.49638986587524	2014	"RCO"	87.72945889028	104446.81302	94161.546875	"11586"	"66227"	66298	"be"	"be"	66298	66298	66298	"be"
"Hasselt"	"BE71022"	50.9309997558594	5.33714008331299	2011	"TRO_noRES"	102.183440023238	146232.077	172867.953125	"11588"	"78296"	77222	"be"	"be"	77222	77222	77222	"be"
"Hasselt"	"BE71022"	50.9309997558594	5.33714008331299	2011	"RCO"	102.183440023238	143207.40767	148482.546875	"11588"	"78296"	77222	"be"	"be"	77222	77222	77222	"be"
"Hasselt"	"BE71022"	50.9309997558594	5.33714008331299	2014	"TRO_noRES"	102.183440023238	167799.2829	168192.421875	"11588"	"78296"	77222	"be"	"be"	77222	77222	77222	"be"
"Hasselt"	"BE71022"	50.9309997558594	5.33714008331299	2014	"RCO"	102.183440023238	260836.6936	137091.453125	"11588"	"78296"	77222	"be"	"be"	77222	77222	77222	"be"
"Hasselt"	"BE71022"	50.9309997558594	5.33714008331299	2015	"RCO"	102.183440023238	140171.03687	156134.6875	"11588"	"78296"	77222	"be"	"be"	77222	77222	77222	"be"
"Hasselt"	"BE71022"	50.9309997558594	5.33714008331299	2015	"TRO_noRES"	102.183440023238	136834.36745	176132.0625	"11588"	"78296"	77222	"be"	"be"	77222	77222	77222	"be"
"CHARLEROI"	"BEBE52011"	50.411678314209	4.44450998306274	2006	"RCO"	NA	479126.269932	NA	"20167"	"203772"	203772	"be"	"be"	203772	203772	203772	"be"
"CHARLEROI"	"BEBE52011"	50.411678314209	4.44450998306274	2006	"TRO_noRES"	NA	219118.482	NA	"20167"	"203772"	203772	"be"	"be"	203772	203772	203772	"be"
"Petrich"	"BGBLG33"	41.3981094360352	23.2066898345947	2003	"RCO"	648.517517740916	15113.282	34518.15625	"16490"	"49530"	54006	"bg"	"bg"	54006	54006	54006	"bg"
"Petrich"	"BGBLG33"	41.3981094360352	23.2066898345947	2003	"TRO_noRES"	648.517517740916	167.1465	14647.44140625	"16490"	"49530"	54006	"bg"	"bg"	54006	54006	54006	"bg"
"Petrich"	"BGBLG33"	41.3981094360352	23.2066898345947	2011	"RCO"	648.517517740916	4214.6288	37190.76171875	"16490"	"49530"	54006	"bg"	"bg"	54006	54006	54006	"bg"
"Petrich"	"BGBLG33"	41.3981094360352	23.2066898345947	2011	"TRO_noRES"	648.517517740916	140.8356	16230.271484375	"16490"	"49530"	54006	"bg"	"bg"	54006	54006	54006	"bg"
"Dimitrovgrad"	"BGHKV09"	42.0612297058105	25.5934906005859	2011	"RCO"	565.169423416736	29551.8683	49791.578125	"20005"	"47287"	61564	"bg"	"bg"	61564	61564	61564	"bg"
"Dimitrovgrad"	"BGHKV09"	42.0612297058105	25.5934906005859	2011	"TRO_noRES"	565.169423416736	10325.49155	37614.21875	"20005"	"47287"	61564	"bg"	"bg"	61564	61564	61564	"bg"
"Asenovgrad"	"BGPDV01"	42.0067901611328	24.8760509490967	2007	"RCO"	652.417867903031	3078.239176	42511.734375	"15073"	"60769"	59953	"bg"	"bg"	59953	59953	59953	"bg"
"Asenovgrad"	"BGPDV01"	42.0067901611328	24.8760509490967	2007	"TRO_noRES"	652.417867903031	14325.59916	18157.74609375	"15073"	"60769"	59953	"bg"	"bg"	59953	59953	59953	"bg"
"Asenovgrad"	"BGPDV01"	42.0067901611328	24.8760509490967	2013	"RCO"	652.417867903031	3075.27402	46484.91015625	"15073"	"60769"	59953	"bg"	"bg"	59953	59953	59953	"bg"
"Asenovgrad"	"BGPDV01"	42.0067901611328	24.8760509490967	2013	"TRO_noRES"	652.417867903031	13988.17914	17417.072265625	"15073"	"60769"	59953	"bg"	"bg"	59953	59953	59953	"bg"
"Asenovgrad"	"BGPDV01"	42.0067901611328	24.8760509490967	2014	"RCO"	652.417867903031	3070.19502	43084.50390625	"15073"	"60769"	59953	"bg"	"bg"	59953	59953	59953	"bg"
"Asenovgrad"	"BGPDV01"	42.0067901611328	24.8760509490967	2014	"TRO_noRES"	652.417867903031	13988.19906	19671.01953125	"15073"	"60769"	59953	"bg"	"bg"	59953	59953	59953	"bg"
"Nicosia"	"CY1000"	35.1734934939495	33.3659964048501	2009	"TRO_noRES"	50.6363829894585	153488.955	47259.90234375	"15725"	"55014"	55014	"cy"	"cy"	55014	55014	55014	"cy"
"Nicosia"	"CY1000"	35.1734934939495	33.3659964048501	2009	"RCO"	50.6363829894585	33595.68	25810.64453125	"15725"	"55014"	55014	"cy"	"cy"	55014	55014	55014	"cy"
"Strovolos"	"CY1012"	35.1500015258789	33.3333015441895	2009	"RCO"	25.4958755199558	39693.717	26049.541015625	"11598"	"76345"	76345	"cy"	"cy"	76345	76345	76345	"cy"
"Strovolos"	"CY1012"	35.1500015258789	33.3333015441895	2009	"TRO_noRES"	25.4958755199558	150468.051	49889.08203125	"11598"	"76345"	76345	"cy"	"cy"	76345	76345	76345	"cy"
"Strovolos"	"CY1012"	35.1500015258789	33.3333015441895	2014	"TRO_noRES"	25.4958755199558	112325.508	41141.40625	"11598"	"76345"	76345	"cy"	"cy"	76345	76345	76345	"cy"
"Strovolos"	"CY1012"	35.1500015258789	33.3333015441895	2014	"RCO"	25.4958755199558	33177.93	19669.427734375	"11598"	"76345"	76345	"cy"	"cy"	76345	76345	76345	"cy"
"Larnaca"	"CY4000"	34.9140014648438	33.6380004882813	2009	"RCO"	33.4759672700293	34040.286	6840.337890625	"12939"	"51232"	51232	"cy"	"cy"	51232	51232	51232	"cy"
"Larnaca"	"CY4000"	34.9140014648438	33.6380004882813	2009	"TRO_noRES"	33.4759672700293	140786.706	15298.09375	"12939"	"51232"	51232	"cy"	"cy"	51232	51232	51232	"cy"
"Larnaca"	"CY4000"	34.9140014648438	33.6380004882813	2014	"TRO_noRES"	33.4759672700293	98271.975	12441.603515625	"12939"	"51232"	51232	"cy"	"cy"	51232	51232	51232	"cy"
"Larnaca"	"CY4000"	34.9140014648438	33.6380004882813	2014	"RCO"	33.4759672700293	26424.525	5187.4033203125	"12939"	"51232"	51232	"cy"	"cy"	51232	51232	51232	"cy"
"Limassol"	"CY5000"	34.6512985229492	33.0139007568359	2009	"TRO_noRES"	36.0540295594421	266746.524	25460.630859375	"14642"	"98000"	98000	"cy"	"cy"	98000	98000	98000	"cy"
"Limassol"	"CY5000"	34.6512985229492	33.0139007568359	2009	"RCO"	36.0540295594421	64811.194	13694.896484375	"14642"	"98000"	98000	"cy"	"cy"	98000	98000	98000	"cy"
"Praha"	"CZ554782"	50.0580508079213	14.4546375718751	2010	"RCO"	494.947707308575	1686798.593	1783687.625	"25429"	"1308632"	1301150	"cz"	"cz"	1301150	1301150	1301150	"cz"
"Praha"	"CZ554782"	50.0580508079213	14.4546375718751	2010	"TRO_noRES"	494.947707308575	1497869.524	513966.9375	"25429"	"1308632"	1301150	"cz"	"cz"	1301150	1301150	1301150	"cz"
"Ostrava"	"CZ554821"	49.8412704467773	18.2902507781982	2000	"RCO"	213.492969218502	181772.4319	389493.03125	"14858"	"289128"	284982	"cz"	"cz"	284982	284982	284982	"cz"
"Ostrava"	"CZ554821"	49.8412704467773	18.2902507781982	2005	"RCO"	213.492969218502	162813.02442	367722.65625	"14858"	"289128"	284982	"cz"	"cz"	284982	284982	284982	"cz"
"Ostrava"	"CZ554821"	49.8412704467773	18.2902507781982	2005	"TRO_noRES"	213.492969218502	96469.926793	148604.78125	"14858"	"289128"	284982	"cz"	"cz"	284982	284982	284982	"cz"
